epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7151,2.76714,3.25507,1.70175,0.06702,0.26903,0.11012,0.03422,2.40851,3.2608,1.59443,0.00031673,0.00031673,0.00031673
2,26.9265,2.43705,1.60753,1.35703,0.8865,0.34886,0.37387,0.12318,2.38302,1.70493,1.49658,0.000643694,0.000643694,0.000643694
3,38.6031,2.38341,1.34064,1.35899,0.89126,0.36259,0.37136,0.11963,2.35319,1.30787,1.52187,0.000964056,0.000964056,0.000964056
4,50.9911,2.32419,1.25697,1.33885,0.88915,0.37443,0.37246,0.12155,2.34599,1.48563,1.49871,0.00127782,0.00127782,0.00127782
5,63.6584,2.29133,1.20729,1.31147,0.88473,0.38153,0.37654,0.11966,2.33902,1.30118,1.44946,0.00158498,0.00158498,0.00158498
6,75.5887,2.25409,1.1995,1.30141,0.8447,0.32304,0.32602,0.09374,2.53994,1.38264,1.56205,0.00158448,0.00158448,0.00158448
7,88.2863,2.21951,1.21087,1.29044,0.91289,0.39538,0.40264,0.13399,2.27717,1.26179,1.39938,0.00156798,0.00156798,0.00156798
8,100.333,2.21598,1.17323,1.30335,0.91355,0.40221,0.40332,0.14101,2.18897,1.23331,1.36607,0.00155148,0.00155148,0.00155148
9,111.493,2.22283,1.22071,1.30215,0.9275,0.4112,0.41803,0.14526,2.19666,1.18335,1.41822,0.00153497,0.00153497,0.00153497
10,123.857,2.22346,1.202,1.32857,0.91021,0.40686,0.40322,0.14044,2.15944,1.26148,1.37405,0.00151847,0.00151847,0.00151847
11,136.424,2.21261,1.20519,1.29377,0.9201,0.41119,0.41637,0.14325,2.19141,1.22369,1.41657,0.00150197,0.00150197,0.00150197
12,149.14,2.19501,1.19349,1.29972,0.92804,0.41643,0.42832,0.14884,2.14683,1.20313,1.38305,0.00148546,0.00148546,0.00148546
13,161.772,2.1496,1.19156,1.30993,0.93137,0.42902,0.43365,0.1531,2.13786,1.23122,1.33108,0.00146896,0.00146896,0.00146896
14,174.109,2.16119,1.16633,1.28266,0.42341,0.41964,0.41853,0.13896,2.22065,1.21416,1.40719,0.00145246,0.00145246,0.00145246
15,185.198,2.1711,1.15557,1.28339,0.93397,0.42485,0.43012,0.15248,2.13396,1.21205,1.34101,0.00143595,0.00143595,0.00143595
16,197.485,2.1526,1.14097,1.2986,0.9286,0.43289,0.43124,0.14604,2.16484,1.21754,1.38096,0.00141945,0.00141945,0.00141945
17,209.987,2.15157,1.15189,1.26695,0.92763,0.42294,0.43148,0.15084,2.15565,1.19594,1.36679,0.00140295,0.00140295,0.00140295
18,222.664,2.13917,1.12833,1.28782,0.91685,0.42256,0.41652,0.14381,2.13505,1.21002,1.37506,0.00138644,0.00138644,0.00138644
19,235.239,2.14751,1.13778,1.28763,0.93517,0.4256,0.43439,0.1537,2.14818,1.1657,1.37279,0.00136994,0.00136994,0.00136994
20,247.909,2.11637,1.13469,1.29561,0.91463,0.39819,0.40638,0.14154,2.19157,1.21728,1.4101,0.00135344,0.00135344,0.00135344
21,260.391,2.15353,1.118,1.28941,0.93405,0.42498,0.438,0.15722,2.14864,1.16866,1.36372,0.00133693,0.00133693,0.00133693
22,271.879,2.15126,1.11267,1.28793,0.9274,0.41669,0.42886,0.15278,2.15577,1.15927,1.39866,0.00132043,0.00132043,0.00132043
23,283.526,2.12695,1.11934,1.27879,0.92005,0.41763,0.41814,0.14094,2.20492,1.19348,1.40381,0.00130393,0.00130393,0.00130393
24,296.877,2.13147,1.11175,1.29147,0.92963,0.42205,0.43238,0.15303,2.16211,1.18164,1.38571,0.00128742,0.00128742,0.00128742
25,309.415,2.13638,1.12992,1.2988,0.93163,0.43238,0.43591,0.15554,2.15412,1.14591,1.38695,0.00127092,0.00127092,0.00127092
26,321.936,2.11729,1.13642,1.29949,0.93193,0.41774,0.43095,0.1553,2.14926,1.12779,1.39216,0.00125442,0.00125442,0.00125442
27,334.296,2.13617,1.10236,1.28282,0.93351,0.42626,0.43491,0.15586,2.1595,1.11829,1.40864,0.00123791,0.00123791,0.00123791
28,347.166,2.14247,1.11123,1.30478,0.93402,0.42983,0.44027,0.15277,2.16522,1.17255,1.38506,0.00122141,0.00122141,0.00122141
29,358.511,2.15717,1.13724,1.29327,0.93415,0.42868,0.43976,0.15339,2.13801,1.19312,1.38077,0.00120491,0.00120491,0.00120491
30,370.265,2.10479,1.13346,1.30207,0.93329,0.43257,0.44337,0.15855,2.14096,1.13707,1.38409,0.0011884,0.0011884,0.0011884
31,382.955,2.10132,1.08047,1.26542,0.93546,0.43556,0.44656,0.1608,2.15164,1.09861,1.38617,0.0011719,0.0011719,0.0011719
32,395.86,2.1286,1.09371,1.29482,0.93506,0.43424,0.44594,0.15853,2.14105,1.12889,1.38032,0.0011554,0.0011554,0.0011554
33,408.009,2.1093,1.0913,1.29024,0.93854,0.43519,0.44866,0.16235,2.13134,1.11265,1.38663,0.00113889,0.00113889,0.00113889
34,420.718,2.10676,1.0664,1.27662,0.93177,0.42629,0.43881,0.15372,2.17369,1.17911,1.36573,0.00112239,0.00112239,0.00112239
35,432.409,2.12166,1.09884,1.29192,0.93438,0.43378,0.44419,0.15953,2.1505,1.11337,1.40016,0.00110589,0.00110589,0.00110589
36,443.998,2.12746,1.09551,1.2744,0.93124,0.43672,0.44093,0.15349,2.18331,1.15736,1.39005,0.00108938,0.00108938,0.00108938
37,456.337,2.13618,1.08814,1.28417,0.93777,0.43315,0.44388,0.15741,2.1542,1.12078,1.40562,0.00107288,0.00107288,0.00107288
38,468.391,2.11857,1.0954,1.29291,0.93311,0.43978,0.44263,0.15587,2.15644,1.12893,1.39666,0.00105638,0.00105638,0.00105638
39,480.869,2.12379,1.10065,1.286,0.92951,0.42289,0.43098,0.15458,2.17814,1.1029,1.41538,0.00103987,0.00103987,0.00103987
40,493.497,2.11567,1.0974,1.29702,0.94229,0.43125,0.44387,0.15904,2.14637,1.11547,1.38551,0.00102337,0.00102337,0.00102337
41,505.602,2.09049,1.08391,1.28459,0.94358,0.43331,0.4453,0.15906,2.15556,1.10531,1.40715,0.00100687,0.00100687,0.00100687
