Model,Augmentation,Epoch,GPU_mem,box_loss,cls_loss,dfl_loss,Precision,Recall,mAP50,mAP50-95
YOLOv8n,No,1,3.33,2.767,3.255,1.702,0.067,0.269,0.11,0.0342
YOLOv8n,No,10,4.51,2.223,1.202,1.329,0.91,0.407,0.403,0.14
YOLOv8n,No,20,5.04,2.116,1.135,1.296,0.915,0.398,0.406,0.142
YOLOv8n,No,30,6.01,2.105,1.133,1.302,0.933,0.433,0.443,0.159
YOLOv8n,No,40,6.18,2.116,1.097,1.297,0.942,0.431,0.444,0.159
YOLOv8n,No,50,6.35,2.095,1.05,1.264,0.937,0.434,0.516,0.181
YOLOv8n,No,60,6.53,2.063,1.034,1.289,0.672,0.544,0.641,0.222
YOLOv8n,No,70,6.69,2.055,1.003,1.283,0.761,0.647,0.674,0.222
YOLOv8n,No,80,6.87,2.046,0.9885,1.259,0.736,0.687,0.676,0.231
YOLOv8n,No,90,7.04,2.05,0.9853,1.262,0.734,0.705,0.68,0.218
YOLOv8n,No,100,7.21,2.002,0.9749,1.315,0.784,0.684,0.708,0.231
YOLOv8n,Yes,1,3.32,2.758,3.262,1.756,0.0674,0.278,0.166,0.045
YOLOv8n,Yes,10,4.66,2.173,1.197,1.329,0.84,0.335,0.322,0.1
YOLOv8n,Yes,20,5.03,2.085,1.114,1.296,0.92,0.41,0.412,0.145
YOLOv8n,Yes,30,5.82,2.068,1.122,1.308,0.909,0.4,0.4,0.139
YOLOv8n,Yes,40,5.82,2.069,1.081,1.296,0.935,0.428,0.452,0.156
YOLOv8n,Yes,50,5.82,2.044,1.044,1.272,0.935,0.426,0.505,0.18
YOLOv8n,Yes,60,5.82,2.034,1.027,1.298,0.634,0.588,0.604,0.201
YOLOv8n,Yes,70,5.82,2.031,0.9995,1.291,0.635,0.622,0.635,0.218
YOLOv8n,Yes,80,5.82,2.029,0.99,1.274,0.645,0.681,0.67,0.219
YOLOv8n,Yes,90,5.82,2.02,0.9969,1.269,0.744,0.696,0.702,0.232
YOLOv8n,Yes,100,5.82,1.997,0.9999,1.319,0.692,0.666,0.658,0.224
YOLOv8s,No,1,4.75,2.797,2.428,1.763,0.77,0.317,0.256,0.0672
YOLOv8s,No,10,5.77,2.179,1.156,1.38,0.643,0.603,0.578,0.191
YOLOv8s,No,20,6.23,2.112,1.075,1.349,0.644,0.546,0.586,0.209
YOLOv8s,No,30,7.06,2.107,1.045,1.355,0.674,0.685,0.694,0.242
YOLOv8s,No,40,7.06,2.088,1.017,1.319,0.732,0.621,0.678,0.235
YOLOv8s,No,50,7.06,2.055,0.974,1.289,0.73,0.743,0.723,0.236
YOLOv8s,No,60,7.09,2.023,0.9522,1.315,0.761,0.705,0.737,0.258
YOLOv8s,No,70,7.09,1.998,0.9062,1.293,0.772,0.686,0.691,0.226
YOLOv8s,No,80,7.13,1.955,0.8696,1.263,0.776,0.699,0.698,0.235
YOLOv8s,No,90,7.13,1.953,0.8373,1.263,0.741,0.716,0.707,0.228
YOLOv8s,No,100,7.13,1.88,0.8058,1.317,0.715,0.743,0.712,0.231
YOLOv8s,Yes,1,4.62,2.799,2.463,1.844,0.722,0.34,0.257,0.0668
YOLOv8s,Yes,10,6,2.115,1.155,1.386,0.523,0.465,0.47,0.154
YOLOv8s,Yes,20,6.47,2.067,1.062,1.336,0.709,0.515,0.57,0.196
YOLOv8s,Yes,30,7.34,2.046,1.065,1.34,0.65,0.62,0.631,0.21
YOLOv8s,Yes,40,7.34,2.051,1.039,1.331,0.734,0.629,0.729,0.239
YOLOv8s,Yes,50,7.34,2.025,0.9879,1.295,0.659,0.8,0.735,0.245
YOLOv8s,Yes,60,7.34,2.006,0.9782,1.319,0.654,0.75,0.702,0.233
YOLOv8s,Yes,70,7.34,2.001,0.9426,1.303,0.63,0.666,0.683,0.228
YOLOv8s,Yes,80,7.34,1.996,0.9379,1.282,0.637,0.69,0.677,0.232
YOLOv8s,Yes,90,7.34,1.991,0.9314,1.282,0.735,0.714,0.726,0.244
YOLOv8s,Yes,100,7.34,1.962,0.9205,1.346,0.772,0.681,0.714,0.243
